"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1979","@regression primary CTA is visible and clickable","ui-webkit","2026-06-06","passed","2026-06-06","Homepage","ui/home.spec.ts","",""
"","2520","@regression renders correctly at mobile-portrait (375x812)","ui-chromium","2026-06-06","passed","2026-06-06","","ui/responsive.spec.ts","",""
"","3784","@regression contact CTA routes to the contact page","ui-webkit","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","3135","@regression html declares a lang attribute","ui-firefox","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","4562","@regression all footer links resolve (no dead links)","ui-firefox","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","2270","@regression exactly one <h1> on the page","ui-webkit","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","1234","@regression every image declares an alt attribute","ui-chromium","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","2401","@regression privacy and terms links are present","ui-firefox","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","1794","@regression contact form is visible","ui-chromium","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","2338","@smoke footer is visible","ui-mobile","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","7450","@regression client-side rejects invalid email formats","ui-chromium","2026-06-06","passed","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","1390","@smoke homepage responds with 2xx","api","2026-06-06","passed","2026-06-06","API · Health & availability","api/health.spec.ts","",""
"","3154","@regression privacy and terms links are present","ui-webkit","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","1068","@regression valid submission flow","ui-webkit","2026-06-06","skipped","2026-06-06","Contact Page","ui/contact.spec.ts","",""
"","2967","@regression /about loads with a valid response","ui-firefox","2026-06-06","passed","2026-06-06","About Page","ui/about.spec.ts","",""
"","328","@regression bare HTTP redirects to HTTPS","api","2026-06-06","passed","2026-06-06","API · Health & availability","api/health.spec.ts","",""
"","3185","@regression interactive elements have accessible names","ui-webkit","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","2431","@regression social outbound links use rel=""noopener""","ui-webkit","2026-06-06","passed","2026-06-06","Footer","ui/footer.spec.ts","",""
"","2463","@regression /partners loads with success status","ui-firefox","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
"","1161","@regression interactive elements have accessible names","ui-chromium","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","1483","@regression html declares a lang attribute","ui-mobile","2026-06-06","passed","2026-06-06","Accessibility — structural smoke","ui/accessibility.spec.ts","",""
"","2280","@regression contact CTA routes to the contact page","ui-firefox","2026-06-06","passed","2026-06-06","Partners Page","ui/partners.spec.ts","",""
